*GUI(1244801)*TOUCH_UP:(285,136)
*GUI(1245201)*TOUCH_DOWN:(298,199)
*GUI(1245201)*TOUCH_UP:(298,201)
*GUI(1251901)*TOUCH_DOWN:(544,290)
*GUI(1252001)*TOUCH_UP:(544,290)
*GUI(1253501)*TOUCH_DOWN:(388,343)
*GUI(1253601)*TOUCH_UP:(388,343)
*GUI(1253901)*TOUCH_DOWN:(393,420)
*GUI(1253901)*SLIDE:(395,425),(DIRECT_DOWN,64)
*GUI(1253901)*TOUCH_UP:(395,425)
*GUI(1258001)*TOUCH_DOWN:(727,298)
*GUI(1258101)*TOUCH_UP:(727,297)
*GUI(1258301)*CLICK_DOUBLE:(753,289)
*GUI(1258401)*TOUCH_UP:(753,289)
*GUI(1264801)*TOUCH_DOWN:(28,374)
*GUI(1264801)*TOUCH_UP:(28,374)
*GUI(1265301)*TOUCH_DOWN:(131,375)
*GUI(1265301)*TOUCH_UP:(131,375)
*GUI(1266701)*TOUCH_DOWN:(4,377)
*GUI(1266801)*TOUCH_UP:(4,379)
*GUI(1267101)*TOUCH_DOWN:(18,377)
*GUI(1267201)*TOUCH_UP:(19,377)
*GUI(1268201)*TOUCH_DOWN:(163,373)
*GUI(1268201)*TOUCH_UP:(161,373)
*GUI(1324601)*TOUCH_DOWN:(13,381)
*GUI(1324601)*TOUCH_UP:(13,381)
*GUI(1324701)*CLICK_DOUBLE:(13,381)
*GUI(1324801)*TOUCH_UP:(13,381)
*GUI(1324901)*TOUCH_DOWN:(13,381)
*GUI(1325001)*TOUCH_UP:(13,381)
*GUI(1325301)*CLICK_DOUBLE:(13,381)
*GUI(1325401)*TOUCH_UP:(13,381)
*GUI(1326201)*TOUCH_DOWN:(148,372)
*GUI(1326201)*TOUCH_UP:(147,371)
*GUI(1326801)*CLICK_DOUBLE:(147,371)
*GUI(1326901)*TOUCH_UP:(148,371)
*GUI(1327601)*TOUCH_DOWN:(148,371)
*GUI(1327701)*TOUCH_UP:(148,371)
*GUI(1328501)*CLICK_DOUBLE:(148,371)
*GUI(1328601)*TOUCH_UP:(148,371)
*GUI(1329601)*TOUCH_DOWN:(148,371)
*GUI(1329701)*TOUCH_UP:(148,371)
*GUI(1364801)*TOUCH_DOWN:(58,340)
*GUI(1364901)*SLIDE:(-248,509),(DIRECT_LEFT,4857)
*GUI(1364901)*TOUCH_UP:(-248,509)
*GUI(1365901)*TOUCH_DOWN:(162,353)
*GUI(1366001)*TOUCH_UP:(162,354)
*GUI(1366601)*TOUCH_DOWN:(31,368)
*GUI(1366701)*TOUCH_UP:(30,366)
*GUI(1367501)*TOUCH_DOWN:(156,374)
*GUI(1367501)*TOUCH_UP:(157,374)
*GUI(1367801)*CLICK_DOUBLE:(147,371)
*GUI(1367801)*TOUCH_UP:(147,371)
*GUI(1367901)*TOUCH_DOWN:(147,371)
*GUI(1368001)*TOUCH_UP:(147,371)
*GUI(1368101)*CLICK_DOUBLE:(147,371)
*GUI(1368201)*TOUCH_UP:(147,371)
*GUI(1368701)*TOUCH_DOWN:(147,372)
*GUI(1368801)*TOUCH_UP:(147,372)
*GUI(1375901)*TOUCH_DOWN:(307,187)
*GUI(1376001)*TOUCH_UP:(307,187)
*GUI(1376701)*CLICK_DOUBLE:(307,188)
*GUI(1376801)*TOUCH_UP:(307,188)
*GUI(1377101)*TOUCH_DOWN:(307,188)
*GUI(1377201)*TOUCH_UP:(307,188)
*GUI(1378001)*CLICK_DOUBLE:(307,188)
*GUI(1378101)*TOUCH_UP:(307,188)
*GUI(1378601)*TOUCH_DOWN:(307,188)
*GUI(1378701)*TOUCH_UP:(307,188)
*GUI(1380201)*TOUCH_DOWN:(307,188)
*GUI(1380301)*TOUCH_UP:(307,188)
*GUI(1380601)*CLICK_DOUBLE:(307,188)
*GUI(1380701)*TOUCH_UP:(307,188)
*GUI(1381201)*TOUCH_DOWN:(307,188)
*GUI(1381301)*TOUCH_UP:(307,188)
*GUI(1381601)*CLICK_DOUBLE:(307,188)
*GUI(1381701)*TOUCH_UP:(307,188)
*GUI(1382301)*TOUCH_DOWN:(307,188)
*GUI(1382401)*TOUCH_UP:(307,188)
*GUI(1382701)*CLICK_DOUBLE:(307,188)
*GUI(1382801)*TOUCH_UP:(307,188)
*GUI(1383101)*TOUCH_DOWN:(307,188)
*GUI(1383201)*TOUCH_UP:(307,188)
*GUI(1383401)*CLICK_DOUBLE:(307,188)
*GUI(1383501)*TOUCH_UP:(307,188)
*GUI(1383901)*TOUCH_DOWN:(307,188)
*GUI(1384001)*TOUCH_UP:(307,188)
*GUI(1384301)*CLICK_DOUBLE:(307,188)
*GUI(1384401)*TOUCH_UP:(307,188)
*GUI(1384801)*TOUCH_DOWN:(307,188)
*GUI(1384901)*TOUCH_UP:(307,188)
*GUI(1385201)*CLICK_DOUBLE:(307,188)
*GUI(1385201)*TOUCH_UP:(307,188)
*GUI(1385701)*TOUCH_DOWN:(307,188)
*GUI(1385801)*TOUCH_UP:(307,188)
*GUI(1386701)*TOUCH_DOWN:(173,207)
*GUI(1386801)*TOUCH_UP:(173,207)
*GUI(1387101)*TOUCH_DOWN:(173,207)
*GUI(1387201)*TOUCH_UP:(173,207)
*GUI(1387501)*TOUCH_DOWN:(60,208)
*GUI(1387601)*TOUCH_UP:(60,209)
*GUI(1387901)*CLICK_DOUBLE:(59,209)
*GUI(1388001)*TOUCH_UP:(59,209)
*GUI(1389001)*TOUCH_DOWN:(89,201)
*GUI(1389101)*TOUCH_UP:(86,202)
*GUI(1389701)*TOUCH_DOWN:(132,52)
*GUI(1389701)*TOUCH_UP:(132,52)
*GUI(1390301)*TOUCH_DOWN:(132,52)
*GUI(1390401)*TOUCH_UP:(132,52)
*GUI(1390701)*CLICK_DOUBLE:(132,52)
*GUI(1390801)*TOUCH_UP:(132,52)
*GUI(1391401)*TOUCH_DOWN:(132,52)
*GUI(1391501)*TOUCH_UP:(132,52)
*GUI(1396901)*CLICK_DOUBLE:(130,65)
*GUI(1397001)*TOUCH_UP:(130,65)
*GUI(1397801)*TOUCH_DOWN:(130,65)
*GUI(1397901)*TOUCH_UP:(130,65)
*GUI(1398501)*TOUCH_DOWN:(130,65)
*GUI(1398601)*TOUCH_UP:(130,65)
*GUI(1399401)*TOUCH_DOWN:(130,65)
*GUI(1399501)*TOUCH_UP:(130,65)
*GUI(1399801)*CLICK_DOUBLE:(130,65)
*GUI(1399901)*TOUCH_UP:(130,66)
*GUI(1401201)*TOUCH_DOWN:(131,66)
*GUI(1401301)*TOUCH_UP:(131,66)
*GUI(1401701)*CLICK_DOUBLE:(131,66)
*GUI(1401801)*TOUCH_UP:(130,66)
*GUI(1402301)*TOUCH_DOWN:(130,66)
*GUI(1402401)*TOUCH_UP:(130,66)
*GUI(1402801)*CLICK_DOUBLE:(130,66)
*GUI(1402801)*TOUCH_UP:(130,66)
*GUI(1403401)*TOUCH_DOWN:(130,66)
*GUI(1403401)*TOUCH_UP:(130,66)
*GUI(1403801)*CLICK_DOUBLE:(130,66)
*GUI(1403801)*TOUCH_UP:(130,66)
*GUI(1404201)*TOUCH_DOWN:(130,66)
*GUI(1404301)*TOUCH_UP:(130,66)
*GUI(1404701)*CLICK_DOUBLE:(130,66)
*GUI(1404801)*TOUCH_UP:(130,66)
*GUI(1405101)*TOUCH_DOWN:(130,66)
*GUI(1405201)*TOUCH_UP:(130,66)
*GUI(1405401)*CLICK_DOUBLE:(130,66)
*GUI(1405501)*TOUCH_UP:(130,66)
*GUI(1405801)*TOUCH_DOWN:(130,66)
*GUI(1405801)*TOUCH_UP:(130,66)
*GUI(1406101)*CLICK_DOUBLE:(130,66)
*GUI(1406201)*TOUCH_UP:(130,66)
*GUI(1406401)*TOUCH_DOWN:(130,66)
*GUI(1406501)*TOUCH_UP:(130,66)
*GUI(1407901)*CLICK_DOUBLE:(130,66)
*GUI(1408001)*TOUCH_UP:(130,66)
*GUI(1409301)*TOUCH_DOWN:(130,66)
*GUI(1409401)*TOUCH_UP:(130,66)
*GUI(1410001)*TOUCH_DOWN:(95,156)
*GUI(1410101)*TOUCH_UP:(95,156)
*GUI(1410601)*TOUCH_DOWN:(148,76)
*GUI(1410701)*TOUCH_UP:(148,76)
*GUI(1411001)*TOUCH_DOWN:(148,76)
*GUI(1411101)*TOUCH_UP:(148,76)
*GUI(1411501)*TOUCH_DOWN:(148,76)
*GUI(1411601)*TOUCH_UP:(148,76)
*GUI(1411801)*TOUCH_DOWN:(148,76)
*GUI(1411901)*TOUCH_UP:(148,76)
